Questions,Average Rating
"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",3.908433734939759
Fairness of the internal evaluation process by the teachers.,4.139759036144579
How much of the syllabus was covered in the class?,3.9975903614457833
How well did the teachers prepare for the classes?,3.9373493975903613
How well were the teachers able to communicate?,4.175903614457831
Teachers are able to identify your weaknesses and help you to overcome them.,3.787951807228916
Teachers encourage you to participate in extracurricular activities.,3.959036144578313
"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",4.021686746987951
"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",3.8216867469879516
"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",3.836144578313253
"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",3.8626506024096385
The institution provides multiple opportunities to learn and grow.,3.8674698795180724
The overall quality of the teaching-learning process in your institute is very good.,3.9518072289156625
The teachers identify your strengths and encourage you to provide the proper level of challenges.,3.896385542168675
The teachers illustrate the concepts through examples and applications.,4.0
The teachers approach to teaching can best be described as,3.787951807228916
"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",3.7734939759036146
Was your performance in assignments discussed with you?,3.968674698795181
"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3.3180722891566266
Your mentor does a necessary follow-up with an assigned task to you.,3.860240963855422
